ticker,form_type,cik,year,filer_number
AMZN,10-K,0000950149,03,000355
AMZN,10-K,0001193125,08,024707
AMZN,10-K,0001193125,04,029488
AMZN,10-K,0001193125,07,034081
AMZN,10-K,0001193125,13,028520
AMZN,10-K,0001193125,12,032846
AMZN,10-K,0001018724,20,000004
AMZN,10-K,0001018724,15,000006
AMZN,10-K,0001193125,06,034166
AMZN,10-K,0001018724,18,000005
AMZN,10-K,0000891020,00,000622
AMZN,10-K,0001018724,22,000005
AMZN,10-K,0001193125,10,016098
AMZN,10-K,0001193125,09,014406
AMZN,10-K,0001193125,11,016253
AMZN,10-K,0001018724,17,000011
AMZN,10-K,0001018724,25,000004
AMZN,10-K,0001018724,24,000008
AMZN,10-K,0001018724,21,000004
AMZN,10-K,0001193125,05,047032
AMZN,10-K,0000891020,99,000375
AMZN,10-K,0001018724,16,000172
AMZN,10-K,0001018724,23,000004
AMZN,10-K,0001018724,19,000004
AMZN,10-K,0001018724,14,000006
